# era, channel, masspoint, vs_nonprompt, vs_diboson, vs_ttZ, metric_before, metric_after, improvement
2016preVFP, Skim3Mu, MHc-70_MA-65, 0.49, 0.05, 0.22, 2.094626799991545, 2.6743689426275563, 0.27677586414837796
2016preVFP, Skim3Mu, MHc-100_MA-95, 0.69, 0.47, 0.93, 1.0782919988284878, 1.5476593817650222, 0.4352878287574046
2016preVFP, Skim3Mu, MHc-130_MA-90, 0.63, 0.41, 0.52, 1.0754784134626536, 1.4134183607358783, 0.31422290121582236
2016preVFP, Skim3Mu, MHc-160_MA-85, 0.15, 0.57, 0.45, 1.3540593224057174, 1.7384790977279656, 0.2839017234778613
2016preVFP, Skim3Mu, MHc-160_MA-120, 0.4, 0.52, 0.78, 2.2292111572144027, 3.287519560065271, 0.47474569621897944
2016postVFP, Skim3Mu, MHc-70_MA-65, 0.5, 0.45, 0.57, 1.7459984819560106, 2.5948078539435593, 0.48614553836074526
2016postVFP, Skim3Mu, MHc-100_MA-95, 0.93, 0.65, 0.63, 0.9563577608063096, 1.278970263153806, 0.33733453689495896
2016postVFP, Skim3Mu, MHc-130_MA-90, 0.63, 0.6, 0.56, 0.9871894381864287, 1.3372689859358042, 0.3546224607026881
2016postVFP, Skim3Mu, MHc-160_MA-85, 0.59, 0.67, 0.67, 1.2828455345162535, 1.5987924823276287, 0.24628604092270176
2016postVFP, Skim3Mu, MHc-160_MA-120, 0.49, 0.37, 0.5, 2.24772099970512, 2.8951323840984116, 0.2880301356254738
2017, Skim3Mu, MHc-70_MA-65, 0.56, 0.16, 0.48, 2.6233780451746447, 3.5322358588268674, 0.3464456124895708
2017, Skim3Mu, MHc-100_MA-95, 0.66, 0.48, 0.57, 1.5257015406846175, 2.119645842230336, 0.38929258816845785
2017, Skim3Mu, MHc-130_MA-90, 0.78, 0.94, 0.54, 1.517368021026649, 1.953106282060834, 0.2871671572064404
2017, Skim3Mu, MHc-160_MA-85, 0.43, 0.97, 0.47, 1.9476199250186146, 2.567179348255585, 0.3181110519964767
2017, Skim3Mu, MHc-160_MA-120, 0.44, 0.02, 0.45, 3.3500642566463195, 4.255041521068955, 0.27013728546466453
2018, Skim3Mu, MHc-70_MA-65, 0.43, 0.97, 0.4, 3.1730105155420363, 4.095085546537509, 0.29059942489284724
2018, Skim3Mu, MHc-100_MA-95, 0.7, 0.44, 0.91, 1.8888359065968936, 2.6966093919340057, 0.42765678189190803
2018, Skim3Mu, MHc-130_MA-90, 0.6, 0.4, 0.57, 1.8738189062874249, 2.3558946479369984, 0.2572691203146757
2018, Skim3Mu, MHc-160_MA-85, 0.21, 0.93, 0.5, 2.422914926580521, 2.924824931393352, 0.207151311549011
2018, Skim3Mu, MHc-160_MA-120, 0.4, 0.25, 0.34, 4.006066429091988, 5.008156339387424, 0.2501431087158904
