# syst, prompt_ratio, error
Central, 0.17602273494918075, 1.3772473499036278e-05
PileupReweight, 0.1774075956574542, 1.5217758245728832e-05
L1PrefireUp, 0.17601307685873718, 1.3766991920615527e-05
L1PrefireDown, 0.1760331507183425, 1.3778063477735549e-05
MuonRecoSFUp, 0.17602540984850693, 1.3780017251297127e-05
MuonRecoSFDown, 0.17602005654998015, 1.3764924532565208e-05
HeavyTagUpUnCorr, 0.17605980436805385, 1.2945750769303333e-05
HeavyTagDownUnCorr, 0.17598569232470318, 1.4270746612187822e-05
LightTagUpUnCorr, 0.17596955764665242, 1.3790061544521788e-05
LightTagDownUnCorr, 0.17607699258596055, 1.3749724163276928e-05
JetResUp, 0.17641804140677278, 1.3479512495063227e-05
JetResDown, 0.1752090133469913, 1.3418617307601977e-05
JetEnUp, 0.1723591786359545, 1.131729150820615e-05
JetEnDown, 0.17763078950718608, 1.5844963279100114e-05
ElectronResUp, 0.17602273150125655, 1.3772471163657399e-05
ElectronResDown, 0.17602273494918075, 1.3772473499036278e-05
ElectronEnUp, 0.17602256572270963, 1.3772407103947571e-05
ElectronEnDown, 0.17602284874653262, 1.3772520452941679e-05
MuonEnUp, 0.17516752954682352, 1.3614080463054433e-05
MuonEnDown, 0.17603174894345502, 1.4120559692643233e-05
total error = 0.0040911644518767535(2.32%)
